"Nacionalidade","Estado","Cidade","Bairro","Trabalha","Carteira Assinada","Tipo de Estabelecimento","Sexo","Escolaridade","Raça","Data de Nascimento","Pontuação","Percentual de Conclusão do Canal","Data de Conclusão do Canal"
"Brasil","São Paulo","São Paulo","BRÁS","","","designer interiores","Feminino","Medio","Branca","05-08-1973","429","100.00","2019-01-22 11:30:11.458"
"Brasil","Santa Catarina","Porto Belo","CENTRO","","","Gestor de Turismo Público","Feminino","Superior","Branca","05-01-1979","429","100.00","2019-04-25 15:08:44.992"
"Brasil","Minas Gerais","Diamantina","CENTRO","","","Gestor de Turismo Público","Feminino","Superior","Parda","03-04-1966","429","100.00","2019-02-07 22:01:04.316"
"Brasil","São Paulo","Ilha Comprida","MEU RECANTO","","","FUNCIONÁRIO PÚBLICO","Feminino","Superior incompleto","Branca","30-04-1964","429","100.00","2019-12-13 11:55:16.056"
"Brasil","Sergipe","Nossa Senhora do Socorro","CONJUNTO MARCOS FREIRE 2","","","Estudante de turismo","Feminino","Superior incompleto","Preta","24-04-1999","429","100.00","2019-02-17 10:40:28.403"
"Brasil","Pernambuco","Abreu e Lima","DESTERRO","","","Monitora","Feminino","Medio","Parda","07-10-2000","429","100.00","2019-12-28 17:30:28.126"
"Brasil","São Paulo","Presidente Epitácio","CENTRO","","","Gestor de Turismo Privado","Feminino","Superior","Branca","21-09-1969","429","100.00","2019-04-30 23:39:14.861"
"Brasil","Amazonas","Manaus","NOSSA SENHORA DE FÁTIMA 1","","","Estudante","Feminino","Superior incompleto","Parda","16-01-1999","429","100.00","2019-04-30 11:37:39.341"
"Brasil","Rio de Janeiro","Nova Iguaçu","DOIS IRMÃOS","","","Turismólogo","Masculino","Superior incompleto","Parda","21-01-1999","429","100.00","2019-05-01 04:11:31.755"
"Brasil","Pará","Altamira","CENTRO","","","Gestor de Turismo Público","Masculino","Superior","Amarela","14-06-1985","429","100.00","2019-02-22 11:31:15.651"
"Brasil","Piauí","Parnaíba","NOSSA SENHORA DO CARMO","","","Gestor de Turismo Privado","Masculino","Superior","Parda","10-08-1993","429","100.00","2019-03-16 12:52:14.075"
"Brasil","Rio de Janeiro","Rio de Janeiro","PADRE MIGUEL","","","Gestor de Turismo Privado","Masculino","Superior","Parda","05-03-1953","429","100.00","2019-04-18 11:11:00.337"
"Brasil","Minas Gerais","Monte Santo de Minas","JARDIM IPIRANGA","","","Educação","Masculino","Superior","Branca","25-06-1990","429","100.00","2019-11-01 08:06:41.55"
"Brasil","Rio de Janeiro","Nova Friburgo","PARQUE MARIA TERESA","","","Estudante e Guia","Masculino","Superior incompleto","Branca","05-03-1993","429","100.00","2019-05-01 05:57:17.477"
"Brasil","Bahia","Salvador","PITUBA","","","Gestor de Turismo Privado","Feminino","Superior","Branca","22-08-1956","429","100.00","2019-04-30 16:42:14.874"
"Brasil","Alagoas","Marechal Deodoro","BARRO VERMELHO","","","Gestor de Turismo Público","Masculino","Medio","Parda","14-09-2001","429","100.00","2019-12-07 19:02:53.978"
"Brasil","Bahia","Jaborandi","CENTRO","","","Gestor de Turismo Público","Masculino","Superior","Branca","10-08-1980","429","100.00","2019-04-29 17:39:16.846"
"Brasil","Distrito Federal","Brasília","NUCLEO BANDEIRANTE","","","autonomo","Masculino","Superior","Amarela","20-09-1988","429","100.00","2019-01-16 16:56:35.614"
"Brasil","Ceará","Pindoretama","CENTRO","","","Gestor de Turismo Público","Masculino","Medio","Parda","14-01-1985","429","100.00","2019-11-24 12:11:58.704"
"Brasil","Maranhão","Riachão","CENTRO","","","Gestor de Turismo Público","Masculino","Medio","Parda","11-12-1975","429","100.00","2019-04-30 21:58:03.424"
"Brasil","São Paulo","Araçoiaba da Serra","CENTRO","","","Desempregado","Masculino","Medio","Parda","04-12-1991","429","100.00","2019-12-25 12:23:47.228"
"Brasil","Amazonas","Tabatinga","COMUNICAÇOES","","","AUTÔNOMO","Masculino","Superior","Indigena","16-05-1989","429","100.00","2019-02-02 17:25:17.75"
"Brasil","São Paulo","Guararema","JARDIM DULCE","","","Gestor de Turismo Privado","Masculino","Medio","Branca","12-10-1978","429","100.00","2019-11-10 12:22:46.303"
"Brasil","Mato Grosso do Sul","Campo Grande","AERO RANCHO","","","Agente de Turismo","Feminino","Superior incompleto","Branca","01-12-1977","429","100.00","2019-01-18 16:51:23.661"
"Brasil","São Paulo","Cananéia","CENTRO","","","Transportadora ","Masculino","Medio","Branca","13-10-1976","429","100.00","2019-04-29 16:15:08.307"
"Brasil","Rio Grande do Norte","Extremoz","GENIPABU","","","Gestor de Turismo Privado","Masculino","Medio","Branca","20-09-1976","429","100.00","2019-02-24 11:52:14.304"
"Brasil","Pará","Ananindeua","COQUEIRO","","","Gestor de Turismo Privado","Feminino","Superior","Parda","28-09-1962","429","100.00","2019-10-25 23:31:47.444"
"Brasil","São Paulo","São Paulo","CENTRO ","","","Gestor de Turismo Público","Masculino","Superior","Preta","23-10-1987","429","100.00","2019-01-12 13:09:44.667"
"Brasil","Bahia","Salvador","SALVADOR","","","Agência de turismo","Masculino","Superior","Preta","17-01-1977","429","100.00","2019-04-23 22:15:51.285"
"Brasil","Ceará","Fortim","VIÇOSA","","","Tecnólogo  Hotelaria","Masculino","Superior","Parda","27-05-1991","429","100.00","2019-02-04 12:12:38.131"
"Brasil","Mato Grosso","Juscimeira","BEIRA RIO","","","GESTOR AMBIENTAL","Masculino","Superior","Parda","28-02-1989","429","100.00","2019-12-07 22:06:51.668"
"Brasil","Rio de Janeiro","São João da Barra","CENTRO","","","Prefeitura","Feminino","Superior","Parda","06-09-1986","429","100.00","2019-04-30 16:38:09.755"
"Brasil","Santa Catarina","Xanxerê","BAIRRO TACCA","","","Gestor de Turismo Privado","Feminino","Superior","Branca","09-11-1977","429","100.00","2019-11-28 10:44:15.627"
"Brasil","Pernambuco","Recife","GRAÇAS","","","Turismóloga","Feminino","Superior","Parda","11-12-1990","429","100.00","2019-12-19 11:34:05.927"
"Brasil","Pernambuco","Olinda","RIO DOCE","","","Estudante Hotelaria","Feminino","Superior incompleto","Parda","23-01-1997","429","100.00","2019-12-25 00:55:16.915"
"Brasil","São Paulo","São Paulo","BARRA FUNDA","","","Hoteleiro","Masculino","Superior","Branca","29-07-1993","429","100.00","2019-10-28 17:31:05.1"
"Brasil","Paraná","Quatro Barras","JARDIM SÃO PEDRO","","","Gestor de Turismo Privado","Masculino","Medio","Branca","29-07-1981","429","100.00","2019-10-25 13:28:25.751"
"Brasil","Santa Catarina","Navegantes","GRAVATA","","","Gestor de Turismo Privado","Masculino","Medio","Parda","06-10-1990","429","100.00","2019-11-06 09:18:01.203"
"Brasil","Minas Gerais","Belo Horizonte","CAMPO ALEGRE. PLANALTO","","","Agente ","Masculino","Superior","Parda","07-04-1989","429","100.00","2019-02-18 09:29:02.134"
